EFFICACY,pAC50,AC50(uM),Active,SMILES
105.4931425,8,0.1,1,CC[C@H](NC(=O)[C@H](C[S+]([O-])(=O)CC1CC1)N[C@@H](C2=CC=C(F)C=C2)C(F)(F)F)C(=O)C(=O)NC3CC3
34.26897185,7.95,0.112201845,1,[H][C@@]1(C[C@H](C)[C@@]([H])(O1)[C@]2(CC)CC[C@@]([H])(O2)[C@]3(C)CCC4(C[C@H](O)[C@@H](C)[C@]([H])(O4)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O3)[C@@]5([H])O[C@@](O)(CO)[C@H](C)C[C@@H]5C
40.70854827,7.9,0.125892541,1,[H][C@@]1(C[C@H](C)[C@@]([H])(O1)[C@]2(CC)CC[C@@]([H])(O2)[C@]3(C)CCC4(C[C@H](O)[C@@H](C)[C@]([H])(O4)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O3)[C@@]5([H])O[C@@](O)(CO)[C@H](C)C[C@@H]5C
44.05283545,7.9,0.125892541,1,CC(C)CC(=O)O[C@H]\1C[C@@]2(COC(C)=O)[C@H](O[C@@H]3[C@H](O)C[C@@]2(C)[C@]34CO4)\C=C1C
34.9261754,7.85,0.141253755,1,Clc2cc(ccc2NC(=O)c1cc(Cl)ccc1O)[N+]([O-])=O
36.01470932,7.65,0.223872114,1,CC[C@H]([C@H]1O[C@@](CC)(C[C@@H]1C)[C@H]2CC[C@](O)(CC)[C@H](C)O2)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCC3=C(C([O-])=O)C(=C(C)C=C3)O
41.83014424,7.6,0.251188643,1,CC[C@@H](C)NC1=C(C=C(C)C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C(N)=O
44.39636475,7.6,0.251188643,1,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
56.23370786,7.6,0.251188643,1,[H][C@]12[C@H](OC(=O)[C@](O)(CCC(C)(C)O)CC(=O)OC)C(OC)=C[C@@]13CCCN3CCC4=CC5=C(OCO5)C=C24
64.3062201,7.55,0.281838293,1,CCC(C)C(=O)OC1C(C)C2(O)C(\C=C(CO)/CC3(O)C2\C=C(C)/C3=O)C4C(C)(C)C14OC(=O)C(C)C
80.31749271,7.55,0.281838293,1,COC[C@@H]1OC(=O)C(=C\N(C)CCCN(C)C)/C2=C(\O)C(=O)\C3=C([C@H](C[C@]4(C)[C@@H](O)CC[C@H]34)OC(C)=O)/[C@]12C
82.11625273,7.55,0.281838293,1,C[N]1N=C(C=C1C(=O)N[C@@H](CC2=CC=CC(=C2)Cl)C(=O)NCC#N)C(C)(C)C
41.64573621,7.5,0.316227766,1,CCNC(=O)C1=NOC(=C1C2=CC=C(CN3CCOCC3)C=C2)C4=C(O)C=C(O)C(=C4)C(C)C
76.33520248,7.5,0.316227766,1,CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(O)=O
85.55994582,7.5,0.316227766,1,C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2)C(=O)CF
